timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692910483796,2564,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-2,text,true,,3261,155,10,682,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,2564,0,248
1692910483881,3245,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-3,text,true,,3261,155,10,1099,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3245,0,239
1692910483669,3552,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-1,text,true,,3261,155,10,1095,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,3552,0,265
1692910483982,4681,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-4,text,true,,3261,155,10,1082,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,4681,0,246
1692910484089,7295,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-5,text,true,,3261,155,10,1055,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,7295,0,276
1692910484296,7438,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-7,text,true,,3261,155,10,1052,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,7438,0,269
1692910491734,8522,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-7,text,true,,3261,155,10,972,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,8522,0,0
1692910491384,11775,HTTP Request - GET,200,OK,Thread Group - Request - 10 users 1-5,text,true,,3261,155,9,946,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,11775,0,0
1692910484498,30385,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-9,text,false,,715,155,8,779,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30385,0,306
1692910514884,1,HTTP Request - GET,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: waarkoop-server.herokuapp.com:443 failed to respond,Thread Group - Request - 10 users 1-9,text,false,,2110,0,8,779,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,0,0,0
1692910484615,30370,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-10,text,false,,715,155,7,766,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30370,0,287
1692910514985,1,HTTP Request - GET,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: waarkoop-server.herokuapp.com:443 failed to respond,Thread Group - Request - 10 users 1-10,text,false,,2110,0,7,765,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,0,0,0
1692910484207,30814,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-6,text,false,,715,155,6,759,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30814,0,738
1692910515021,1,HTTP Request - GET,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: waarkoop-server.herokuapp.com:443 failed to respond,Thread Group - Request - 10 users 1-6,text,false,,2110,0,6,759,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,0,0,0
1692910484388,31541,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-8,text,false,,715,155,5,640,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,31541,0,1458
1692910515930,1,HTTP Request - GET,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: waarkoop-server.herokuapp.com:443 failed to respond,Thread Group - Request - 10 users 1-8,text,false,,2110,0,5,640,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,0,0,0
1692910486361,30124,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-2,text,false,,715,155,4,597,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30124,0,0
1692910487126,30240,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-3,text,false,,715,155,3,574,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30240,0,0
1692910487222,30247,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-1,text,false,,715,155,2,563,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,30247,0,0
1692910488664,32223,HTTP Request - GET,503,Service Unavailable,Thread Group - Request - 10 users 1-4,text,false,,715,155,1,76,https://waarkoop-server.herokuapp.com/api/v1/search/demo/apple,32223,0,0
